2025-03-21 18:22:59, INFO: Current git head hash code: %s
2025-03-21 18:23:00, INFO: Using device: cuda:0
2025-03-21 18:23:04, INFO: robot number: 8
2025-03-21 18:23:04, INFO: human number: 5
2025-03-21 18:23:04, INFO: Not randomize human's radius and preferred speed
2025-03-21 18:24:48, INFO: Episode 1180/10000, reward so far: -5.0000
2025-03-21 18:24:48, INFO: Episode 1185/10000, reward so far: -5.0000
2025-03-21 18:24:49, INFO: Episode 1190/10000, reward so far: -5.0000
2025-03-21 18:24:49, INFO: Episode 1195/10000, reward so far: -5.0000
2025-03-21 18:24:50, INFO: Episode 1200/10000, reward so far: -5.0000
2025-03-21 18:24:50, INFO: Episode 1205/10000, reward so far: -5.0000
2025-03-21 18:24:51, INFO: Episode 1210/10000, reward so far: -5.0000
2025-03-21 18:24:51, INFO: Episode 1215/10000, reward so far: -5.0000
2025-03-21 18:24:51, INFO: Episode 1220/10000, reward so far: -5.0000
2025-03-21 18:24:52, INFO: Episode 1225/10000, reward so far: -5.0000
2025-03-21 18:24:52, INFO: Episode 1230/10000, reward so far: -5.0000
2025-03-21 18:24:53, INFO: Episode 1235/10000, reward so far: -5.0000
2025-03-21 18:24:53, INFO: Episode 1240/10000, reward so far: -5.0000
2025-03-21 18:24:53, INFO: Episode 1245/10000, reward so far: -5.0000
2025-03-21 18:24:54, INFO: Episode 1250/10000, reward so far: -5.0000
2025-03-21 18:24:54, INFO: Episode 1255/10000, reward so far: -5.0000
2025-03-21 18:24:54, INFO: Episode 1260/10000, reward so far: -5.0000
2025-03-21 18:24:55, INFO: Episode 1265/10000, reward so far: -5.0000
2025-03-21 18:24:55, INFO: Episode 1270/10000, reward so far: -5.0000
2025-03-21 18:24:56, INFO: Episode 1275/10000, reward so far: -5.0000
2025-03-21 18:24:56, INFO: Episode 1280/10000, reward so far: -5.0000
2025-03-21 18:24:57, INFO: Episode 1285/10000, reward so far: -5.0000
2025-03-21 18:24:57, INFO: Episode 1290/10000, reward so far: -5.0000
2025-03-21 18:24:58, INFO: Episode 1295/10000, reward so far: -5.0000
2025-03-21 18:24:58, INFO: Episode 1300/10000, reward so far: -5.0000
2025-03-21 18:24:58, INFO: Episode 1305/10000, reward so far: -5.0000
2025-03-21 18:24:59, INFO: Episode 1310/10000, reward so far: -5.0000
2025-03-21 18:24:59, INFO: Episode 1315/10000, reward so far: -5.0000
2025-03-21 18:25:00, INFO: Episode 1320/10000, reward so far: -5.0000
2025-03-21 18:25:00, INFO: Episode 1325/10000, reward so far: -5.0000
2025-03-21 18:25:01, INFO: Episode 1330/10000, reward so far: -5.0000
2025-03-21 18:25:01, INFO: Episode 1335/10000, reward so far: -5.0000
2025-03-21 18:25:01, INFO: Episode 1340/10000, reward so far: -5.0000
2025-03-21 18:25:02, INFO: Episode 1345/10000, reward so far: -5.0000
2025-03-21 18:25:02, INFO: Episode 1350/10000, reward so far: -5.0000
2025-03-21 18:25:03, INFO: Episode 1355/10000, reward so far: -5.0000
2025-03-21 18:25:03, INFO: Episode 1360/10000, reward so far: -5.0000
2025-03-21 18:25:04, INFO: Episode 1365/10000, reward so far: -5.0000
2025-03-21 18:25:04, INFO: Episode 1370/10000, reward so far: -5.0000
2025-03-21 18:25:04, INFO: Episode 1375/10000, reward so far: -5.0000
2025-03-21 18:25:05, INFO: Episode 1380/10000, reward so far: -5.0000
2025-03-21 18:25:05, INFO: Episode 1385/10000, reward so far: -5.0000
2025-03-21 18:25:06, INFO: Episode 1390/10000, reward so far: -5.0000
2025-03-21 18:25:06, INFO: Episode 1395/10000, reward so far: -5.0000
2025-03-21 18:25:07, INFO: Episode 1400/10000, reward so far: -5.0000
2025-03-21 18:25:07, INFO: Episode 1405/10000, reward so far: -5.0000
2025-03-21 18:25:07, INFO: Episode 1410/10000, reward so far: -5.0000
2025-03-21 18:25:08, INFO: Episode 1415/10000, reward so far: -5.0000
2025-03-21 18:25:08, INFO: Episode 1420/10000, reward so far: -5.0000
2025-03-21 18:25:09, INFO: Episode 1425/10000, reward so far: -5.0000
2025-03-21 18:25:09, INFO: Episode 1430/10000, reward so far: -5.0000
2025-03-21 18:25:10, INFO: Episode 1435/10000, reward so far: -5.0000
2025-03-21 18:25:10, INFO: Episode 1440/10000, reward so far: -5.0000
2025-03-21 18:25:10, INFO: Episode 1445/10000, reward so far: -5.0000
2025-03-21 18:25:11, INFO: Episode 1450/10000, reward so far: -5.0000
2025-03-21 18:25:11, INFO: Episode 1455/10000, reward so far: -5.0000
2025-03-21 18:25:11, INFO: Episode 1460/10000, reward so far: -5.0000
2025-03-21 18:25:12, INFO: Episode 1465/10000, reward so far: -5.0000
2025-03-21 18:25:12, INFO: Episode 1470/10000, reward so far: -5.0000
2025-03-21 18:25:13, INFO: Episode 1475/10000, reward so far: -5.0000
2025-03-21 18:25:13, INFO: Episode 1480/10000, reward so far: -5.0000
2025-03-21 18:25:13, INFO: Episode 1485/10000, reward so far: -5.0000
2025-03-21 18:25:14, INFO: Episode 1490/10000, reward so far: -5.0000
2025-03-21 18:25:14, INFO: Episode 1495/10000, reward so far: -5.0000
2025-03-21 18:25:15, INFO: Episode 1500/10000, reward so far: -5.0000
2025-03-21 18:25:15, INFO: Episode 1505/10000, reward so far: -5.0000
2025-03-21 18:25:16, INFO: Episode 1510/10000, reward so far: -5.0000
2025-03-21 18:25:16, INFO: Episode 1515/10000, reward so far: -5.0000
2025-03-21 18:25:16, INFO: Episode 1520/10000, reward so far: -5.0000
2025-03-21 18:25:17, INFO: Episode 1525/10000, reward so far: -5.0000
2025-03-21 18:25:17, INFO: Episode 1530/10000, reward so far: -5.0000
2025-03-21 18:25:18, INFO: Episode 1535/10000, reward so far: -5.0000
2025-03-21 18:25:18, INFO: Episode 1540/10000, reward so far: -5.0000
2025-03-21 18:25:19, INFO: Episode 1545/10000, reward so far: -5.0000
2025-03-21 18:25:19, INFO: Episode 1550/10000, reward so far: -5.0000
2025-03-21 18:25:19, INFO: Episode 1555/10000, reward so far: -5.0000
2025-03-21 18:25:20, INFO: Episode 1560/10000, reward so far: -5.0000
2025-03-21 18:25:20, INFO: Episode 1565/10000, reward so far: -5.0000
2025-03-21 18:25:21, INFO: Episode 1570/10000, reward so far: -5.0000
2025-03-21 18:25:21, INFO: Episode 1575/10000, reward so far: -5.0000
2025-03-21 18:25:22, INFO: Episode 1580/10000, reward so far: -5.0000
2025-03-21 18:25:22, INFO: Episode 1585/10000, reward so far: -5.0000
2025-03-21 18:25:22, INFO: Episode 1590/10000, reward so far: -5.0000
2025-03-21 18:25:23, INFO: Episode 1595/10000, reward so far: -5.0000
2025-03-21 18:25:23, INFO: Episode 1600/10000, reward so far: -5.0000
2025-03-21 18:25:24, INFO: Episode 1605/10000, reward so far: -5.0000
2025-03-21 18:25:24, INFO: Episode 1610/10000, reward so far: -5.0000
2025-03-21 18:25:24, INFO: Episode 1615/10000, reward so far: -5.0000
2025-03-21 18:25:25, INFO: Episode 1620/10000, reward so far: -5.0000
2025-03-21 18:25:25, INFO: Episode 1625/10000, reward so far: -5.0000
2025-03-21 18:25:26, INFO: Episode 1630/10000, reward so far: -5.0000
2025-03-21 18:25:26, INFO: Episode 1635/10000, reward so far: -5.0000
2025-03-21 18:25:27, INFO: Episode 1640/10000, reward so far: -5.0000
2025-03-21 18:25:27, INFO: Episode 1645/10000, reward so far: -5.0000
2025-03-21 18:25:27, INFO: Episode 1650/10000, reward so far: -5.0000
2025-03-21 18:25:28, INFO: Episode 1655/10000, reward so far: -5.0000
2025-03-21 18:25:28, INFO: Episode 1660/10000, reward so far: -5.0000
2025-03-21 18:25:29, INFO: Episode 1665/10000, reward so far: -5.0000
2025-03-21 18:25:29, INFO: Episode 1670/10000, reward so far: -5.0000
2025-03-21 18:25:30, INFO: Episode 1675/10000, reward so far: -5.0000
2025-03-21 18:25:30, INFO: Episode 1680/10000, reward so far: -5.0000
2025-03-21 18:25:30, INFO: Episode 1685/10000, reward so far: -5.0000
2025-03-21 18:25:31, INFO: Episode 1690/10000, reward so far: -5.0000
2025-03-21 18:25:31, INFO: Episode 1695/10000, reward so far: -5.0000
2025-03-21 18:25:32, INFO: Episode 1700/10000, reward so far: -5.0000
2025-03-21 18:25:32, INFO: Episode 1705/10000, reward so far: -5.0000
