2025-03-19 12:38:54, INFO: TRAIN in episode 590 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4138
2025-03-19 12:41:55, INFO: TRAIN in episode 591 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3974
2025-03-19 12:42:45, INFO: TRAIN in episode 592 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3565
2025-03-19 12:43:49, INFO: TRAIN in episode 593 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4100
2025-03-19 12:47:02, INFO: TRAIN in episode 594 has success rate: 1.00, collision rate: 0.00, nav time: 27.75, total reward: 0.4129
2025-03-19 17:01:47, INFO: TRAIN in episode 595 has success rate: 1.00, collision rate: 0.00, nav time: 28.75, total reward: 0.4073
2025-03-19 17:04:47, INFO: TRAIN in episode 596 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4120
2025-03-19 17:07:28, INFO: TRAIN in episode 597 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3536
2025-03-19 17:07:57, INFO: TRAIN in episode 598 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4110
2025-03-19 17:11:02, INFO: TRAIN in episode 599 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4015
2025-03-19 17:11:41, INFO: TRAIN in episode 600 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3997
2025-03-19 17:14:29, INFO: TRAIN in episode 601 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4231
2025-03-19 17:15:02, INFO: TRAIN in episode 602 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3934
2025-03-19 17:17:38, INFO: TRAIN in episode 603 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4149
2025-03-19 17:20:45, INFO: TRAIN in episode 604 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4104
2025-03-19 17:21:42, INFO: TRAIN in episode 605 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4166
2025-03-19 17:24:09, INFO: TRAIN in episode 606 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3999
2025-03-19 17:26:34, INFO: TRAIN in episode 607 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3746
2025-03-19 17:30:11, INFO: TRAIN in episode 608 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3152
2025-03-19 17:31:03, INFO: TRAIN in episode 609 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4134
2025-03-19 17:34:25, INFO: TRAIN in episode 610 has success rate: 1.00, collision rate: 0.00, nav time: 28.25, total reward: 0.4166
2025-03-19 17:37:08, INFO: TRAIN in episode 611 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3685
2025-03-19 17:39:41, INFO: TRAIN in episode 612 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3863
2025-03-19 17:42:40, INFO: TRAIN in episode 613 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4152
2025-03-19 17:46:53, INFO: TRAIN in episode 614 has success rate: 1.00, collision rate: 0.00, nav time: 31.00, total reward: 0.4142
2025-03-19 17:50:44, INFO: TRAIN in episode 615 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2858
2025-03-19 17:54:23, INFO: TRAIN in episode 616 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4017
2025-03-19 17:57:23, INFO: TRAIN in episode 617 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3406
2025-03-19 18:00:53, INFO: TRAIN in episode 618 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4101
2025-03-19 18:01:49, INFO: TRAIN in episode 619 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2797
2025-03-19 18:03:01, INFO: TRAIN in episode 620 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4096
2025-03-19 18:10:17, INFO: TRAIN in episode 621 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4104
2025-03-19 18:20:33, INFO: TRAIN in episode 622 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 0.4070
2025-03-19 18:23:22, INFO: TRAIN in episode 623 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4137
2025-03-19 18:27:20, INFO: TRAIN in episode 624 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3536
2025-03-19 18:30:11, INFO: TRAIN in episode 625 has success rate: 1.00, collision rate: 0.00, nav time: 27.50, total reward: 0.4134
2025-03-19 18:32:46, INFO: TRAIN in episode 626 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4133
2025-03-19 18:33:45, INFO: TRAIN in episode 627 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3989
2025-03-19 18:37:52, INFO: TRAIN in episode 628 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4034
2025-03-19 18:41:03, INFO: TRAIN in episode 629 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2846
2025-03-19 18:43:46, INFO: TRAIN in episode 630 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4039
2025-03-19 18:47:05, INFO: TRAIN in episode 631 has success rate: 1.00, collision rate: 0.00, nav time: 32.50, total reward: 0.4154
